数量,ﾊﾟｰﾂ番号,ﾀｲﾌﾟ,名称,改訂,定義,ﾌﾟﾛﾀﾞｸﾄ記述,ｿｰｽ,番号,ｿｰｽ,ﾃﾞﾌｫﾙﾄ ﾓﾃﾞﾙ ｿｰｽ,Name,Owner,ｺﾒﾝﾄ,名前付きURLのﾘｽﾄ,子
4,HFS6-3030-280-LTP,ﾊﾟｰﾂ,30mm角アルミフレーム(溝幅8),2019.2.6 豊島, ,㈱ミスミ,購入,,購入,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK030\Parts\HFS6-3030-280-LTP.CATPart,HFS6-3030-280-LTP,HFS6-3030-280-LTP.CATPart, ,CATCkeList,List
14,HBLFSN6,ﾊﾟｰﾂ,ブラケット,ANY,Misumi-HBLFS6_HBLFSN6-HBLFSNB6-HBLFSNM6-HBLFSNK6_HBLFS6,ミスミ,購入,,購入,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK010\Parts\HBLFSN6.CATPart,HBLFSN6,HBLFSN6.CATPart, ,CATCkeList,List
61,CBE6-12,ﾊﾟｰﾂ,HEXIAGON SOCKET HEAD CAP SCREW,2019.2.25 豊島,六角穴付ボルト,㈱ミスミ CBE6-12,購入,,購入,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK010\Parts\CBE6-12.CATPart,CBE6-12,CBE6-12.CATPart, ,CATCkeList,List
90,HNTT6-6,ﾊﾟｰﾂ,アルミフレーム用ナット(先入れナット), , ,㈱ミスミ,購入,,購入,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK010\Parts\HNTT6-6.CATPart,HNTT6-6,HNTT6-6.CATPart, ,CATCkeList,List
4,HBLFSN6-C,ﾊﾟｰﾂ,突起付ブラケット,2019.9.22 豊島, ,㈱ミスミ,購入,,購入,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK030\Parts\HBLFSN6-C.CATPart,HBLFSN6-C,HBLFSN6-C.CATPart, ,CATCkeList,List
55,CBE3-10,ﾊﾟｰﾂ,HEXIAGON SOCKET HEAD CAP SCREW,2019.2.25 豊島,六角穴付ボルト,㈱ミスミ CBE3-10,購入,,購入,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK010\Parts\CBE3-10.CATPart,CBE3-10,CBE3-10.CATPart, ,CATCkeList,List
85,CBE3-8,ﾊﾟｰﾂ,HEXIAGON SOCKET HEAD CAP SCREW,2019.2.25 豊島,六角穴付ボルト,㈱ミスミ CBE3-8,購入,,購入,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK010\Parts\CBE3-8.CATPart,CBE3-8,CBE3-8.CATPart, ,CATCkeList,List
8,HBLSS6,ﾊﾟｰﾂ,薄型ブラケット,2019.2.26 豊島,A6N01SS-T5,㈱ミスミ,購入,,購入,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK030\Parts\HBLSS6.CATPart,HBLSS6,HBLSS6.CATPart, ,CATCkeList,List
55,CBE6-10,ﾊﾟｰﾂ,HEXIAGON SOCKET HEAD CAP SCREW,2019.2.25 豊島,六角穴付ボルト,㈱ミスミ CBE6-10,購入,,購入,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK030\Parts\CBE6-10.CATPart,CBE6-10,CBE6-10.CATPart, ,CATCkeList,List
14,HNTP6-6,ﾊﾟｰﾂ,アルミフレーム用後入れナット, , ,㈱ミスミ,購入,,購入,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK010\Parts\HNTP6-6.CATPart,HNTP6-6,HNTP6-6.CATPart, ,CATCkeList,List
2,HK030-12040,ﾊﾟｰﾂ,"PLATE SIDE, Cart",2019.8.24 豊島,A5052-H34(t=2),(元品番:HK010-12040),作成,,作成,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK030\01_Cart\HK030-12040.CATPart,HK030-12040,HK030-12040.CATPart, ,CATCkeList,List
1,HK030-12050,ﾊﾟｰﾂ,"PLATE CENTER, Cart",2019.9.19 豊島,A5052-H34(t=2), ,作成,,作成,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK030\01_Cart\HK030-12050.CATPart,HK030-12050,HK030-12050.CATPart, ,CATCkeList,List
10,CBE5-10,ﾊﾟｰﾂ,HEXIAGON SOCKET HEAD CAP SCREW,2019.2.25 豊島,六角穴付ボルト,㈱ミスミ CBE5-6 強度区分10.9 三価クロメート,購入,,購入,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK010\Parts\CBE5-6.CATPart,CBE5-6,CBE5-6.CATPart, ,CATCkeList,List
5,HK030-12060,ﾊﾟｰﾂ,"PLATE CENTER, Cart",2019.9.19 豊島,A5052-H34(t=2), ,作成,,作成,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK030\01_Cart\HK030-12050.CATPart,HK030-12050,HK030-12050.CATPart, ,CATCkeList,List
